Month,Reason for SS,Total Number
2020-05,Stolen Property,3438
2020-06,Stolen Property,2674
2020-07,Stolen Property,2740
2020-08,Stolen Property,2475
2020-09,Stolen Property,2431
2020-10,Stolen Property,2832
2020-11,Stolen Property,2792
2020-12,Stolen Property,2463
2021-01,Stolen Property,2129
2021-02,Stolen Property,2390
2021-03,Stolen Property,2423
2021-04,Stolen Property,2304
2021-05,Stolen Property,2162
2021-06,Stolen Property,1924
2021-07,Stolen Property,1750
2021-08,Stolen Property,2003
2021-09,Stolen Property,1647
2021-10,Stolen Property,2067
2021-11,Stolen Property,1984
2021-12,Stolen Property,2082
2022-01,Stolen Property,2310
2022-02,Stolen Property,2154
2022-03,Stolen Property,2294
2022-04,Stolen Property,1915
2020-05,Drugs,29907
2020-06,Drugs,20825
2020-07,Drugs,17524
2020-08,Drugs,13252
2020-09,Drugs,12946
2020-10,Drugs,16306
2020-11,Drugs,18027
2020-12,Drugs,13990
2021-01,Drugs,15094
2021-02,Drugs,17191
2021-03,Drugs,16474
2021-04,Drugs,14319
2021-05,Drugs,12665
2021-06,Drugs,10664
2021-07,Drugs,10516
2021-08,Drugs,10615
2021-09,Drugs,9352
2021-10,Drugs,11839
2021-11,Drugs,10915
2021-12,Drugs,9767
2022-01,Drugs,13069
2022-02,Drugs,11566
2022-03,Drugs,11783
2022-04,Drugs,8796
2020-05,Weapons Point & Blades,6868
2020-06,Weapons Point & Blades,4538
2020-07,Weapons Point & Blades,4086
2020-08,Weapons Point & Blades,3226
2020-09,Weapons Point & Blades,3362
2020-10,Weapons Point & Blades,3616
2020-11,Weapons Point & Blades,3612
2020-12,Weapons Point & Blades,2729
2021-01,Weapons Point & Blades,2746
2021-02,Weapons Point & Blades,3700
2021-03,Weapons Point & Blades,3808
2021-04,Weapons Point & Blades,3583
2021-05,Weapons Point & Blades,3423
2021-06,Weapons Point & Blades,3100
2021-07,Weapons Point & Blades,2649
2021-08,Weapons Point & Blades,2796
2021-09,Weapons Point & Blades,2450
2021-10,Weapons Point & Blades,2838
2021-11,Weapons Point & Blades,2590
2021-12,Weapons Point & Blades,2261
2022-01,Weapons Point & Blades,2945
2022-02,Weapons Point & Blades,2743
2022-03,Weapons Point & Blades,2880
2022-04,Weapons Point & Blades,2674
