Month,Reason for SS,Number of Arrests
2020-05,Stolen Property,530
2020-06,Stolen Property,496
2020-07,Stolen Property,477
2020-08,Stolen Property,476
2020-09,Stolen Property,416
2020-10,Stolen Property,502
2020-11,Stolen Property,513
2020-12,Stolen Property,459
2021-01,Stolen Property,398
2021-02,Stolen Property,417
2021-03,Stolen Property,396
2021-04,Stolen Property,373
2021-05,Stolen Property,420
2021-06,Stolen Property,369
2021-07,Stolen Property,390
2021-08,Stolen Property,404
2021-09,Stolen Property,349
2021-10,Stolen Property,393
2021-11,Stolen Property,404
2021-12,Stolen Property,379
2022-01,Stolen Property,439
2022-02,Stolen Property,414
2022-03,Stolen Property,437
2022-04,Stolen Property,380
2020-05,Drugs,2417
2020-06,Drugs,1693
2020-07,Drugs,1640
2020-08,Drugs,1271
2020-09,Drugs,1321
2020-10,Drugs,1516
2020-11,Drugs,1604
2020-12,Drugs,1403
2021-01,Drugs,1481
2021-02,Drugs,1648
2021-03,Drugs,1592
2021-04,Drugs,1375
2021-05,Drugs,1342
2021-06,Drugs,1140
2021-07,Drugs,1187
2021-08,Drugs,1203
2021-09,Drugs,1009
2021-10,Drugs,1187
2021-11,Drugs,1151
2021-12,Drugs,1074
2022-01,Drugs,1438
2022-02,Drugs,1198
2022-03,Drugs,1114
2022-04,Drugs,1022
2020-05,Weapons Point & Blades,745
2020-06,Weapons Point & Blades,564
2020-07,Weapons Point & Blades,566
2020-08,Weapons Point & Blades,452
2020-09,Weapons Point & Blades,551
2020-10,Weapons Point & Blades,537
2020-11,Weapons Point & Blades,552
2020-12,Weapons Point & Blades,439
2021-01,Weapons Point & Blades,445
2021-02,Weapons Point & Blades,577
2021-03,Weapons Point & Blades,516
2021-04,Weapons Point & Blades,546
2021-05,Weapons Point & Blades,544
2021-06,Weapons Point & Blades,573
2021-07,Weapons Point & Blades,508
2021-08,Weapons Point & Blades,570
2021-09,Weapons Point & Blades,441
2021-10,Weapons Point & Blades,494
2021-11,Weapons Point & Blades,397
2021-12,Weapons Point & Blades,408
2022-01,Weapons Point & Blades,446
2022-02,Weapons Point & Blades,443
2022-03,Weapons Point & Blades,452
2022-04,Weapons Point & Blades,490
