Month,Reason for SS,Total Number
2020-05,Stolen Property,3438
2020-06,Stolen Property,2674
2020-07,Stolen Property,2740
2020-08,Stolen Property,2475
2020-09,Stolen Property,2431
2020-10,Stolen Property,2832
2020-11,Stolen Property,2792
2020-12,Stolen Property,2463
2021-01,Stolen Property,2129
2021-02,Stolen Property,2390
2021-03,Stolen Property,2423
2021-04,Stolen Property,2304
2021-05,Stolen Property,2162
2021-06,Stolen Property,1924
2021-07,Stolen Property,1750
2021-08,Stolen Property,2003
2021-09,Stolen Property,1647
2021-10,Stolen Property,2067
2021-11,Stolen Property,1984
2021-12,Stolen Property,2082
2022-01,Stolen Property,2310
2022-02,Stolen Property,2154
2022-03,Stolen Property,2294
2022-04,Stolen Property,1915
2020-05,Drugs,29907
2020-06,Drugs,20825
2020-07,Drugs,17524
2020-08,Drugs,13252
2020-09,Drugs,12946
2020-10,Drugs,16306
2020-11,Drugs,18027
2020-12,Drugs,13990
2021-01,Drugs,15094
2021-02,Drugs,17191
2021-03,Drugs,16474
2021-04,Drugs,14319
2021-05,Drugs,12665
2021-06,Drugs,10664
2021-07,Drugs,10516
2021-08,Drugs,10615
2021-09,Drugs,9352
2021-10,Drugs,11839
2021-11,Drugs,10915
2021-12,Drugs,9767
2022-01,Drugs,13069
2022-02,Drugs,11566
2022-03,Drugs,11783
2022-04,Drugs,8796
2020-05,Firearms,154
2020-06,Firearms,175
2020-07,Firearms,119
2020-08,Firearms,145
2020-09,Firearms,119
2020-10,Firearms,148
2020-11,Firearms,110
2020-12,Firearms,100
2021-01,Firearms,95
2021-02,Firearms,73
2021-03,Firearms,121
2021-04,Firearms,118
2021-05,Firearms,81
2021-06,Firearms,114
2021-07,Firearms,87
2021-08,Firearms,139
2021-09,Firearms,126
2021-10,Firearms,153
2021-11,Firearms,107
2021-12,Firearms,71
2022-01,Firearms,87
2022-02,Firearms,88
2022-03,Firearms,129
2022-04,Firearms,158
2020-05,Weapons Point & Blades,6868
2020-06,Weapons Point & Blades,4538
2020-07,Weapons Point & Blades,4086
2020-08,Weapons Point & Blades,3226
2020-09,Weapons Point & Blades,3362
2020-10,Weapons Point & Blades,3616
2020-11,Weapons Point & Blades,3612
2020-12,Weapons Point & Blades,2729
2021-01,Weapons Point & Blades,2746
2021-02,Weapons Point & Blades,3700
2021-03,Weapons Point & Blades,3808
2021-04,Weapons Point & Blades,3583
2021-05,Weapons Point & Blades,3423
2021-06,Weapons Point & Blades,3100
2021-07,Weapons Point & Blades,2649
2021-08,Weapons Point & Blades,2796
2021-09,Weapons Point & Blades,2450
2021-10,Weapons Point & Blades,2838
2021-11,Weapons Point & Blades,2590
2021-12,Weapons Point & Blades,2261
2022-01,Weapons Point & Blades,2945
2022-02,Weapons Point & Blades,2743
2022-03,Weapons Point & Blades,2880
2022-04,Weapons Point & Blades,2674
2020-05,Criminal Damage,106
2020-06,Criminal Damage,146
2020-07,Criminal Damage,118
2020-08,Criminal Damage,112
2020-09,Criminal Damage,170
2020-10,Criminal Damage,146
2020-11,Criminal Damage,124
2020-12,Criminal Damage,92
2021-01,Criminal Damage,97
2021-02,Criminal Damage,127
2021-03,Criminal Damage,127
2021-04,Criminal Damage,124
2021-05,Criminal Damage,125
2021-06,Criminal Damage,80
2021-07,Criminal Damage,56
2021-08,Criminal Damage,248
2021-09,Criminal Damage,146
2021-10,Criminal Damage,136
2021-11,Criminal Damage,110
2021-12,Criminal Damage,99
2022-01,Criminal Damage,106
2022-02,Criminal Damage,53
2022-03,Criminal Damage,98
2022-04,Criminal Damage,146
2020-05,Terrorism,35
2020-06,Terrorism,70
2020-07,Terrorism,39
2020-08,Terrorism,43
2020-09,Terrorism,47
2020-10,Terrorism,78
2020-11,Terrorism,73
2020-12,Terrorism,39
2021-01,Terrorism,27
2021-02,Terrorism,32
2021-03,Terrorism,43
2021-04,Terrorism,35
2021-05,Terrorism,33
2021-06,Terrorism,64
2021-07,Terrorism,59
2021-08,Terrorism,35
2021-09,Terrorism,43
2021-10,Terrorism,40
2021-11,Terrorism,37
2021-12,Terrorism,15
2022-01,Terrorism,25
2022-02,Terrorism,28
2022-03,Terrorism,36
2022-04,Terrorism,25
2020-05,Fireworks,16
2020-06,Fireworks,4
2020-07,Fireworks,14
2020-08,Fireworks,13
2020-09,Fireworks,7
2020-10,Fireworks,776
2020-11,Fireworks,392
2020-12,Fireworks,43
2021-01,Fireworks,19
2021-02,Fireworks,15
2021-03,Fireworks,29
2021-04,Fireworks,22
2021-05,Fireworks,14
2021-06,Fireworks,15
2021-07,Fireworks,13
2021-08,Fireworks,7
2021-09,Fireworks,16
2021-10,Fireworks,495
2021-11,Fireworks,271
2021-12,Fireworks,16
2022-01,Fireworks,22
2022-02,Fireworks,18
2022-03,Fireworks,11
2022-04,Fireworks,21
